"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS.","Points_Rank","Rebounds_Rank","Assists_Rank","Steals_Rank","Blocks_Rank","Per_Rank","TS_Rank","WS_Rank","Wins_Rank","Sum","All_Points_Rank","All_Rebounds_Rank","All_Assists_Rank","All_Steals_Rank","All_Blocks_Rank","All_Per_Rank","All_TS_Rank","All_WS_Rank","All_Wins_Rank","All_Sum"
"SAS",2005,4,"Tim Duncan",28,1,328,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,2,59,23,27,0.54,4,1,5,4,1,2,4,2,3,23,86,20,88,92,10,43,86,82,23,425
"PHI",2005,5,"Allen Iverson",29,2,240,1270,0.189,75,42.3,30.7,4,7.9,2.4,0.1,0.424,0.308,0.835,9,0.136,7,43,39,23.2,0.532,1,4,2,1,5,4,5,5,5,27,9,91,19,5,92,90,92,97,95,398
"PHO",2006,1,"Steve Nash",31,57,924,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,2,54,28,23.3,0.632,4,4,1,4,4,5,1,5,3,28,91,89,6,86,86,87,11,72,55,456
"CLE",2006,2,"LeBron James",21,16,688,1250,0.55,79,42.5,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232,4,50,32,28.1,0.568,2,2,3,2,2,1,4,2,4,18,7,57,34,31,48,28,65,15,73,270
"DAL",2006,3,"Dirk Nowitzki",27,14,544,1250,0.435,81,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275,4,60,22,28.1,0.589,3,1,5,5,1,2,3,1,2,21,48,35,85,93,38,29,44,12,19,372
"LAL",2006,4,"Kobe Bryant",27,22,483,1250,0.386,80,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,7,45,37,28,0.559,1,3,4,1,3,3,5,4,5,24,2,80,65,18,71,30,72,27,89,338
"DET",2006,5,"Chauncey Billups",29,15,430,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,1,64,18,23.4,0.602,5,5,2,3,5,4,2,3,1,29,94,98,16,81,93,86,34,24,11,502
"DAL",2007,1,"Dirk Nowitzki",28,83,1138,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,1,67,15,27.6,0.605,3,2,4,5,2,1,2,1,1,20,63,36,76,94,49,33,29,16,3,380
"PHO",2007,2,"Steve Nash",32,44,1013,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,2,61,21,23.8,0.654,5,5,1,3,5,5,1,5,2,30,93,96,1,87,94,80,2,69,15,453
"LAL",2007,3,"Kobe Bryant",28,2,521,1290,0.404,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13,0.199,7,42,40,26.1,0.58,1,4,3,2,4,2,3,3,5,22,5,70,49,49,64,56,54,58,98,347
"SAS",2007,4,"Tim Duncan",30,0,286,1290,0.222,80,34.1,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13,0.23,3,58,24,26.1,0.579,4,1,5,4,1,3,4,4,3,26,89,25,77,88,14,57,55,59,33,405
"CLE",2007,5,"LeBron James",22,0,183,1290,0.142,78,40.9,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,13.7,0.206,2,50,32,24.5,0.552,2,3,2,1,3,4,5,2,4,22,36,63,41,32,51,70,77,44,74,370
"LAL",2008,1,"Kobe Bryant",29,82,1100,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,1,57,25,24.2,0.576,2,4,3,2,4,4,3,3,2,25,23,67,50,19,65,73,60,42,36,357
"NOH",2008,2,"Chris Paul",22,28,894,1260,0.71,80,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,2,56,26,28.3,0.576,3,5,1,1,5,2,4,1,3,22,83,92,2,2,95,25,61,11,45,360
"BOS",2008,3,"Kevin Garnett",31,15,670,1260,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265,1,66,16,25.3,0.588,5,2,4,4,2,3,2,4,1,26,92,34,78,50,29,63,47,62,6,393
