"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS."
"PHI",2006,10,"Allen Iverson",30,0,1,1250,0.001,72,43.1,33,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165,9,38,44,25.9,0.543
"PHO",2006,10,"Shawn Marion",27,0,1,1250,0.001,81,40.3,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,14.6,0.214,2,54,28,23.6,0.591
"CLE",2006,2,"LeBron James",21,16,688,1250,0.55,79,42.5,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232,4,50,32,28.1,0.568
"DAL",2006,3,"Dirk Nowitzki",27,14,544,1250,0.435,81,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275,4,60,22,28.1,0.589
"LAL",2006,4,"Kobe Bryant",27,22,483,1250,0.386,80,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,7,45,37,28,0.559
"DET",2006,5,"Chauncey Billups",29,15,430,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,1,64,18,23.4,0.602
"MIA",2006,6,"Dwyane Wade",24,0,87,1250,0.07,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239,2,52,30,27.6,0.577
"LAC",2006,7,"Elton Brand",26,1,50,1250,0.04,79,39.2,24.7,10,2.6,1,2.5,0.527,0.333,0.775,14.8,0.229,6,47,35,26.5,0.58
"SAS",2006,8,"Tim Duncan",29,0,33,1250,0.026,80,34.8,18.6,11,3.2,0.9,2,0.484,0.4,0.629,10.8,0.187,1,63,19,23.1,0.523
"SAS",2006,9,"Tony Parker",23,0,9,1250,0.007,80,33.9,18.9,3.3,5.8,1,0.1,0.548,0.306,0.707,9.6,0.169,1,63,19,20.8,0.584
"DAL",2007,1,"Dirk Nowitzki",28,83,1138,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,1,67,15,27.6,0.605
"DET",2007,11,"Chauncey Billups",30,0,4,1290,0.003,70,36.2,17,3.4,7.2,1.2,0.2,0.427,0.345,0.883,11.4,0.216,1,53,29,21.3,0.591
"MIA",2007,12,"Shaquille O'Neal",34,0,3,1290,0.002,40,28.4,17.3,7.4,2,0.2,1.4,0.591,NA,0.422,2.8,0.119,4,44,38,21.7,0.567
"MIA",2007,12,"Dwyane Wade",25,0,3,1290,0.002,51,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.219,4,44,38,28.9,0.583
"PHO",2007,14,"Amar'e Stoudemire",24,0,2,1290,0.002,82,32.8,20.4,9.6,1,1,1.3,0.575,0,0.781,11.2,0.201,2,61,21,23.1,0.637
"DEN",2007,15,"Carmelo Anthony",22,0,1,1290,0.001,65,38.2,28.9,6,3.8,1.2,0.4,0.476,0.268,0.808,7.3,0.14,6,45,37,22.1,0.552
"GSW",2007,15,"Baron Davis",27,0,1,1290,0.001,63,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139,8,42,40,21,0.53
"SAS",2007,15,"Tony Parker",24,0,1,1290,0.001,77,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,9.6,0.185,3,58,24,21.4,0.572
